2015-06-15 12:26:19 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\takmeen.php on line 186 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-15 12:26:19 - PHP Notice:  Undefined index: amount in C:\server\www\vaj_form\app\controller\setup\takmeen.php on line 197
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: momin_id in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 21
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: sf_no in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 24
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: ejamaat_no in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 28
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: mohallah in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 32
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: momin in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 36
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: amount in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 40
2015-06-15 12:26:39 - PHP Notice:  Undefined variable: strValidation in C:\server\www\vaj_form\app\view\template\setup\takmeen_form.tpl on line 52
2015-06-15 12:26:43 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\form_printing.php on line 35 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-15 12:26:43 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-15 12:26:57 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\form_printing.php on line 268 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:07:59 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 15:18:56 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 15:19:26 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 15:19:56 - PHP Notice:  Undefined index: employee_id in C:\server\www\vaj_form\system\library\user.php on line 48
2015-06-16 15:19:56 - PHP Warning:  fopen(C:\server\www\vaj_form/image/cache/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 53
2015-06-16 15:19:56 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 55
2015-06-16 15:19:56 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 57
2015-06-16 15:19:56 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 60
2015-06-16 15:19:56 - PHP Warning:  fopen(C:\server\www\vaj_form/download/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 87
2015-06-16 15:19:56 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 89
2015-06-16 15:19:56 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 91
2015-06-16 15:19:56 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 94
2015-06-16 15:19:56 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 136 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:19:56 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-16 15:19:59 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 248 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:19:59 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 17
2015-06-16 15:19:59 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 31
2015-06-16 15:20:04 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\form_printing.php on line 35 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:20:04 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-16 15:43:06 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 15:43:29 - PHP Notice:  Undefined index: employee_id in C:\server\www\vaj_form\system\library\user.php on line 48
2015-06-16 15:43:29 - PHP Warning:  fopen(C:\server\www\vaj_form/image/cache/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 53
2015-06-16 15:43:29 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 55
2015-06-16 15:43:29 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 57
2015-06-16 15:43:29 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 60
